#,Player,Team,Mat,Inns,Overs,Runs,Wkts,BBF,Mdns,dots,Econ,Avg,SR,Hat-trick,4w,5w,Wides,Nb
39,Imran Khan Jr,Lone Star Athletics,6,6,24,120,9, 9/ 3,1,79,5.00,13.33,16,0,0,0,5,1
40,Sunny Patel,Atlanta Lightning,7,7,25,146,9, 14/ 2,0,82,5.84,16.22,16.7,0,0,0,7,0
41,Bhaskar Yadram,The Philadelphians,8,8,30.1,181,9, 5/ 4,2,96,6.00,20.11,20.1,0,1,0,8,3
42,Naqash Basharat,Lone Star Athletics,6,6,23,140,9, 24/ 5,2,71,6.09,15.56,15.3,0,0,1,12,0
43,Stephen Wiig,New Jersey Stallions,9,9,27.1,188,9, 12/ 3,0,76,6.92,20.89,18.1,0,0,0,8,1
44,Md Farhad Reza,New Jersey Stallions,8,7,20.5,147,9, 19/ 3,0,57,7.06,16.33,13.9,0,0,0,1,0
45,Adil Bhatti,New Jersey Somerset Cavaliers,8,8,21,150,9, 6/ 2,1,75,7.14,16.67,14,0,0,0,18,0
46,Manoj Acharya,Manhattan Yorkers,7,7,27.4,198,9, 31/ 2,0,79,7.16,22.00,18.4,0,0,0,9,1
47,Abhimanyu Lamba,St. Louis Americans,7,7,26.1,231,9, 17/ 2,0,75,8.83,25.67,17.4,0,0,0,11,1
48,Md Shaif Uddin,Atlanta Fire,5,5,15.5,78,8, 13/ 4,1,53,4.93,9.75,11.9,0,1,0,3,1
49,Usman Rafiq,Houston Hurricanes,4,4,14,76,8, 28/ 4,0,41,5.43,9.50,10.5,0,1,0,1,0
50,Abhimanyu Poswal,Chicago Kingsmen,11,5,15,89,8, 7/ 4,0,43,5.93,11.12,11.2,0,1,0,0,0
51,Carmi Le Roux,East Bay Blazers,10,10,36.1,220,8, 25/ 2,1,114,6.08,27.50,27.1,0,0,0,13,0
52,Anirudh Immanuel,New Jersey Stallions,8,7,14.3,104,8, 14/ 3,0,37,7.17,13.00,10.9,0,0,0,1,0
53,Gayan Fernando,San Diego Surf Riders,8,8,31,225,8, 29/ 3,1,90,7.26,28.12,23.2,0,0,0,5,0
54,Rubal Raina,Los Angeles Lashings,7,7,25.5,202,8, 19/ 3,1,67,7.82,25.25,19.4,0,0,0,7,0
55,Aaryan Batra,Baltimore Royals,8,7,13,119,8, 2/ 2,0,28,9.15,14.88,9.8,0,0,0,2,0
56,Isaiah Rajah,Ft. Lauderdale Lions,6,5,13,74,7, 11/ 3,0,39,5.69,10.57,11.1,0,0,0,1,0
57,Nimish Bachu,Manhattan Yorkers,6,6,13,75,7, 20/ 3,2,51,5.77,10.71,11.1,0,0,0,1,0
58,Calvin Savage,Chicago Tigers,7,7,21.3,127,7, 33/ 3,2,74,5.91,18.14,18.4,0,0,0,12,0
59,Saurabh Patwal,Dallas Xforia Giants,5,5,14,91,7, 14/ 4,0,44,6.50,13.00,12,0,1,0,19,0
60,Chaitanya Bishnoi,Dallas Xforia Giants,10,8,22.1,156,7, 10/ 3,0,58,7.04,22.29,19,0,0,0,5,0
61,Junaid Nadir Mahsood,New Jersey Somerset Cavaliers,9,9,27.4,197,7, 30/ 2,1,82,7.12,28.14,23.7,0,0,0,10,1
62,Deveshwari Prashad,The Philadelphians,8,8,20,147,7, 18/ 2,0,59,7.35,21.00,17.1,0,0,0,5,0
63,Corne Dry,Atlanta Fire,8,8,23,172,7, 20/ 2,0,63,7.48,24.57,19.7,0,0,0,9,0
64,Ajaay Sharrma,San Diego Surf Riders,7,7,19,148,7, 22/ 2,0,38,7.79,21.14,16.3,0,0,0,8,0
65,Nithin Kumar Kanduri,Silicon Valley Strikers,7,7,19,153,7, 20/ 2,0,51,8.05,21.86,16.3,0,0,0,4,1
66,Elmore Hutchinson,Los Angeles Lashings,7,7,25,202,7, 27/ 2,0,60,8.08,28.86,21.4,0,0,0,37,1
67,Muned Ahmed,Michigan Cricket Stars,5,5,17.5,146,7, 23/ 2,0,42,8.19,20.86,15.3,0,0,0,13,0
