#,Player,Team,Mat,Inns,NO,Runs,4's,6's,50's,100's,HS,SR,Avg
46,Ryan Scott,The Philadelphians,8,8,0,160,13,11,0,0,40,142.86,20.00
47,Kunwarjeet Singh,Baltimore Royals,6,6,0,160,12,8,1,0,90,115.11,26.67
48,Adithya Ganesh,East Bay Blazers,12,10,4,158,11,4,0,0,48,103.95,26.33
49,Naushad Shaikh,Dallas Xforia Giants,10,9,0,157,14,4,1,0,77,137.72,17.44
50,Aksh Dave,Atlanta Fire,7,6,0,157,8,11,0,0,41,110.56,26.17
51,Adil Bhatti,New Jersey Somerset Cavaliers,8,7,0,155,13,5,0,0,48,98.10,22.14
52,Usman Ghani,East Bay Blazers,9,9,1,153,8,12,0,0,37,110.87,19.12
53,Calvin Savage,Chicago Tigers,7,7,0,151,10,8,1,0,60,143.81,21.57
54,Mukhtar Ahmed,Houston Hurricanes,7,7,0,151,13,9,0,0,35,113.53,21.57
55,Alex Algoo,NYC Titans,6,6,0,151,19,5,0,0,47,112.69,25.17
56,Abhinav Sikharam,Michigan Cricket Stars,7,7,0,150,18,2,0,0,45,93.75,21.43
57,Prannav Chettipalayam,Manhattan Yorkers,8,8,1,149,15,5,1,0,87,87.13,21.29
58,Rajdeep Darbar,Atlanta Fire,6,6,0,148,15,11,1,0,66,194.74,24.67
59,Abdulahad Malek,Baltimore Royals,8,8,0,148,13,3,0,0,46,100.68,18.50
60,Shiv Shani,Chicago Tigers,7,7,0,144,16,3,1,0,59,118.03,20.57
61,Justin Dill,Chicago Tigers,5,5,1,143,8,4,0,0,49,105.15,35.75
62,Aran Chenchu,Atlanta Lightning,8,8,0,142,3,12,0,0,38,98.61,17.75
63,Ritwik Behera,Michigan Cricket Stars,6,6,1,141,17,3,0,0,38,100.00,28.20
64,Shivam Mishra,Silicon Valley Strikers,8,8,1,140,14,5,0,0,38,133.33,20.00
65,Kwame Patton Jr,NYC Titans,7,7,1,140,9,8,1,0,65,106.06,23.33
66,Isaiah Rajah,Ft. Lauderdale Lions,6,6,0,139,16,5,0,0,44,129.91,23.17
67,Zahid Zakhil,St. Louis Americans,7,7,1,137,11,11,1,0,53,159.30,22.83
68,Paul Palmer,Atlanta Fire,8,8,3,137,10,4,0,0,40,116.10,27.40
